,kanwil,cabang,jalan,des_kec,kab_prov,telepon
3429,UPC KUTISARI,CP JEMURSARI,JALAN KUTISARI SELATAN NO 48,"Kutisari, Tenggilis Mejoyo","Surabaya, Jawa Timur",0318477225
3430,UPC RUNGKUT,CP JEMURSARI,JALAN RUNGKUT ASRI UTARA 6 KAV.26,"Kali Rungkut, Rungkut","Surabaya, Jawa Timur",0318709615
3431,CP BLIMBING,Wilayah 12 Surabaya,JALAN BOROBUDUR 10 MALANG,"Mojolangu, Lowokwaru","Malang, Jawa Timur",0341494664
3432,CP RAMPAL,Wilayah 12 Surabaya,JALAN WR.SUPRATMAN KAV C3/17,"Rampal Celaket, Klojen","Malang, Jawa Timur",0341336267
3433,CP BLITAR,Wilayah 12 Surabaya,JALAN MERDEKA 67 BLITAR,"Kepanjen Lor, Kepanjen Kidul","Blitar, Jawa Timur",0342801246
3434,CP TLOGOMAS,Wilayah 12 Surabaya,JALAN MT HARYONO RUKO DINOYO I NO.104,"Dinoyo, Lowokwaru","Malang, Jawa Timur",0341582615
3435,CP KOTALAMA,Wilayah 12 Surabaya,JALAN HALMAHERA NO.09,"Ciptomulyo, Sukun","Malang, Jawa Timur",0341321399
3436,CP TUREN,Wilayah 12 Surabaya,JALAN P SUDIRMAN 114 TUREN,"Turen, Turen","Malang, Jawa Timur",0341824038
3437,CP KEPANJEN,Wilayah 12 Surabaya,JALAN PANJI NO.179 KEPANJEN,"Mojosari, Kepanjen","Malang, Jawa Timur",0341395067
3438,CP MALANG,Wilayah 12 Surabaya,JALAN ADE IRMA SURYANI NO.2,"Kauman, Klojen","Malang, Jawa Timur",0341362957
3439,CP SINGOSARI,Wilayah 12 Surabaya,JALAN RAYA SINGOSARI NO.09,"Pagentan, Singosari","Malang, Jawa Timur",0341458156
3440,UPC KEBALEN,CP KOTALAMA,JALAN KEBALEN WETAN NO.51,"Bakalan Krajan, Sukun","Malang, Jawa Timur",0341325953
3441,UPC MATOS,CP KOTALAMA,JALAN VETERAN NO.02,"Penanggungan, Klojen","Malang, Jawa Timur",085106618220
3442,UPC KEBON AGUNG,CP KOTALAMA,JALAN RAYA KEBON AGUNG NO.45,"Kebonagung, Pakisaji","Malang, Jawa Timur",0341805364
3443,UPC SUMBERMANJING,CP TUREN,DS SUMBERMANJINGWETAN,"Ringinsari, Sumbermanjing Wetan","Malang, Jawa Timur",0341871510
3444,UPC WAJAK,CP TUREN,JALAN P SUDIRMAN 153 WAJAK,"Blayu, Wajak","Malang, Jawa Timur",0341825488
3445,UPC DAMPIT,CP TUREN,JALAN GUNUNG JATI 100 DAMPIT,"Dampit, Dampit","Malang, Jawa Timur",0341896260
3446,UPC AMPEL GADING,CP TUREN,JALAN RAYA TIRTOMARTO RT.01/03,"Ampelgading, Tirtoyudo","Malang, Jawa Timur",082234801161
3447,UPC GONDANGLEGI,CP KEPANJEN,JALAN HAYAM WURUK NO.37 RUKO NO 5 GONDANGLEGI,"Gondanglegi Kulon, Gondanglegi","Malang, Jawa Timur",0341874629
3448,UPC BULULAWANG,CP KEPANJEN,JALAN DIPONEGORO RAYA NO.45 BULULAWANG,"Bululawang, Bululawang","Malang, Jawa Timur",085100425222
3449,UPC BANTUR,CP KEPANJEN,"JALAN RAYA WONOKERTO NO.40, BANTUR","Wonokerto, Bantur","Malang, Jawa Timur",0341879487
3450,UPC PAGAK,CP KEPANJEN,JALAN HAMID RUSDI NO.25 PAGAK,"Gampingan, Pagak","Malang, Jawa Timur",085649574811
3451,UPC PASAR PAKISAJI,CP KEPANJEN,JALAN RAYA PAKISAJI NO.196 PAKISAJI,"Pakisaji, Pakisaji","Malang, Jawa Timur",085101425353
3452,UPC SUMBERPUCUNG,CP KEPANJEN,JALAN SUDIRMAN NO.75 SUMBERPUCUNG,"Sumberpucung, Sumberpucung","Malang, Jawa Timur",0341385214
3453,UPC DONOMULYO,CP KEPANJEN,JALAN RAYA DONOMULYO NO.101,"Tempursari, Donomulyo","Malang, Jawa Timur",0341882263
3454,UPC PASAR KEPANJEN,CP KEPANJEN,JALAN TEUKU UMAR NO.14A PASAR KEPANJEN,"Mojosari, Kepanjen","Malang, Jawa Timur",085100578669
3455,UPC MALL OLYMPIC GARDEN,CP MALANG,JL KAWI NO 24,"Klojen, Klojen","Malang, Jawa Timur",0341368049
3456,UPC SUKUN,CP MALANG,JALAN SUDANCO SUPRIADI NO. 64A,"Sukun, Sukun","Malang, Jawa Timur",0341354538
3457,UPC MERGAN,CP MALANG,JALAN IR. RAIS NO.558A,"Tanjungrejo, Sukun","Malang, Jawa Timur",0341354921
3458,UPC DIENG,CP MALANG,JALAN SIMPANG WILIS NO.20B,"Gadingkasri, Klojen","Malang, Jawa Timur",0341556685
3459,UPC PURWOSARI,CP SINGOSARI,JALAN RAYA PURWOSARI NO. 1,"Purwosari, Purwosari","Pasuruan, Jawa Timur",0343611223
3460,UPC KARANG PLOSO,CP SINGOSARI,"JALAN KERTANEGARA 90, KARANG PLOSO MALANG","Girimoyo, Karangploso","Malang, Jawa Timur",0341531300
3461,UPC LAWANG,CP SINGOSARI,JALAN THAMRIN 17 LAWANG MALANG,"Lawang, Lawang","Malang, Jawa Timur",0341426271
3462,UPC PASAR LAWANG,CP SINGOSARI,PASAR LAWANG BLOK G1/34 LAWANG MALANG,"Lawang, Lawang","Malang, Jawa Timur",0341421551
3463,UPC TUMPANG,CP BLIMBING,JALAN RAYA TUMPANG NO. 17 TUMPANG MALANG,"Tumpang, Tumpang","Malang, Jawa Timur",0341787252
3464,UPC PASAR PAKIS,CP BLIMBING,JALAN RAYA PAKIS KEMBAR RUKO KAV E,"Pakiskembar, Pakis","Malang, Jawa Timur",03413051299
3465,UPC LA SUCIPTO,CP BLIMBING,"JALAN LA.ADISUCIPTO NO.350, BLIMBING MALANG","Pandanwangi, Blimbing","Malang, Jawa Timur",0341414226
3466,UPC CANDI PANGGUNG,CP BLIMBING,"JALAN CANDI PANGGUNG BARAT NO.27 A,MALANG","Mojolangu, Lowokwaru","Malang, Jawa Timur",0341417654
3467,UPC SULFAT,CP RAMPAL,JALAN SULFAT NO.68,"Bunulrejo, Blimbing","Malang, Jawa Timur",0341474427
3468,UPC SAWOJAJAR,CP RAMPAL,JALAN RAYA KI AGENG GRIBIG BLOK H1 M-58 KAV.1-2,"Madyopuro, Kedungkandang","Malang, Jawa Timur",0341721022
3469,UPC DANAU TOBA SAWOJAJAR,CP RAMPAL,JALAN DANAU TOBA BLOK E NO.01,"Madyopuro, Kedungkandang","Malang, Jawa Timur",0341722609
3470,UPC PASAR SAWOJAJAR,CP RAMPAL,JALAN DANAU KERINCI F9C KAVLING 2,"Madyopuro, Kedungkandang","Malang, Jawa Timur",0341711460
3471,UPC PASAR TAWANGMANGU,CP RAMPAL,JALAN PARANG TRIRIS BEDAK SELATAN BLOK A NO.16,"Samaan, Klojen","Malang, Jawa Timur",03414345868
3472,UPC KADEMANGAN BLITAR,CP BLITAR,JALAN TRISULA 13 KADEMANGAN BLITAR,"Jimbe, Kademangan","Blitar, Jawa Timur",0342803722
3473,UPC SRENGAT,CP BLITAR,JALAN RAYA SRENGAT NO.116 BLITAR,"Srengat, Srengat","Blitar, Jawa Timur",0342551042
3474,UPC LODOYO,CP BLITAR,JALAN RAYA BARAT NO. 1A BLITAR,"Kalipang, Sutojayan","Blitar, Jawa Timur",0342441037
3475,UPC NGLEGOK,CP BLITAR,JALAN RAYA PENATARAN 91 NGLEGOK BLITAR,"Nglegok, Nglegok","Blitar, Jawa Timur",0342561022
3476,UPC WLINGI,CP BLITAR,JALAN GAJAH MADA 6 WLINGI BLITAR,"Wlingi, Wlingi","Blitar, Jawa Timur",0342691150
3477,UPC KESAMBEN,CP BLITAR,"JALAN JUGO NO.17, KESAMBEN","Kesamben, Kesamben","Blitar, Jawa Timur",0342331014
3478,UPC BATU,CP TLOGOMAS,JALAN KARTINI NO.04 BATU,"Ngaglik, Batu","Batu, Jawa Timur",0341591068
3479,UPC PUJON,CP TLOGOMAS,JALAN ABDUL MANAN WIJAYA NO.256,"Pujon Lor, Pujon","Malang, Jawa Timur",03412990844
3480,UPC TEMAS,CP TLOGOMAS,JALAN DEWI SARTIKA ATAS NO.07A,"Temas, Batu","Batu, Jawa Timur",03415025690
3481,UPC PUNTEN,CP TLOGOMAS,JALAN RAYA PUNTEN NO.60,"Punten, Bumiaji","Batu, Jawa Timur",0341513154
3482,UPC BENDUNGAN SUTAMI,CP TLOGOMAS,"JALAN BENDUNGAN SUTAMI NO.15 S,SUMBERSARI MALANG","Sumbersari, Lowokwaru","Malang, Jawa Timur",0341584433
3483,UPC SUKARNO HATTA,CP TLOGOMAS,JALAN SUKARNO HATTA RUKO GRIYA SANTA D-344A,"Mojolangu, Lowokwaru","Malang, Jawa Timur",089683948361
3484,UPC SENGKALING,CP TLOGOMAS,JALAN RAYA JETIS NO.76 SENGKALNG,"Mulyoagung, Dau","Malang, Jawa Timur",03419985207
3485,CP JEMBER,Wilayah 12 Surabaya,JALAN SYAMANHUDI NO.47,"Kepatihan, Kaliwates","Jember, Jawa Timur",0331487266
3486,CP BANYUWANGI,Wilayah 12 Surabaya,JALAN R.A KARTINI NO.12,"Kepatihan, Banyuwangi","Banyuwangi, Jawa Timur",0333421894
3487,CP GENTENG,Wilayah 12 Surabaya,JALAN GAJAH MADA NO.242,"Genteng Kulon, Genteng","Banyuwangi, Jawa Timur",0333845874
3488,CP BONDOWOSO,Wilayah 12 Surabaya,JALAN LETNAN KARSONO NO. 4 BONDOWOSO,"Blindungan, Bondowoso","Bondowoso, Jawa Timur",0332421501
3489,CP ASEMBAGUS,Wilayah 12 Surabaya,JL. RAYA ASEMBAGUS NO.329,"Asembagus, Asembagus","Situbondo, Jawa Timur",0338451120
3490,CP TEGALBOTO,Wilayah 12 Surabaya,"JALAN KALIMANTAN NO.84, SUMBERSARI","Sumbersari, Sumber Sari","Jember, Jawa Timur",0331337356
3491,CP ROGOJAMPI,Wilayah 12 Surabaya,JALAN PEKAUMAN NO.18/23,"Rogojampi, Rogojampi","Banyuwangi, Jawa Timur",0333631124
3492,UPC RAMBIPUJI,CP JEMBER,JALAN GAJAHMADA NO.54,"Rambigundam, Rambipuji","Jember, Jawa Timur",0331712714
3493,UPC PATRANG,CP JEMBER,JALAN SLAMET RIYADI NO.18,"Patrang, Patrang","Jember, Jawa Timur",0331483793
3494,UPC MANGLI,CP JEMBER,JALAN BRAWIJAYA NO.51,"Sempusari, Kaliwates","Jember, Jawa Timur",0331428801
3495,UPC TANGGULWETAN,CP JEMBER,JALAN RAUNG 1,"Tanggul Wetan, Tanggul","Jember, Jawa Timur",0336441319
3496,UPC AMBULU,CP JEMBER,JALAN RAYA SUYITMAN NO.25,"Sumberrejo, Ambulu","Jember, Jawa Timur",0336881178
3497,UPC PUGER,CP JEMBER,JALAN PUGER WETAN NO.61,"Puger Wetan, Puger","Jember, Jawa Timur",0336721177
3498,UPC BALUNG,CP JEMBER,JALAN RAYA RAMBIPUJI NO.07,"Balung Lor, Balung","Jember, Jawa Timur",0336623558
3499,UPC JENGGAWAH,CP JEMBER,JALAN RAYA KAWI NO.67,"Jenggawah, Jenggawah","Jember, Jawa Timur",0331757575
3500,UPC KARANGENTE,CP BANYUWANGI,JALAN BRAWIJAYA NO 141,"Penganjuran, Banyuwangi","Banyuwangi, Jawa Timur",0333421560
3501,UPC KETAPANG,CP BANYUWANGI,JALAN GATOT SUBROTO NO 2B,"Kalipuro, Kalipuro","Banyuwangi, Jawa Timur",0333421966
3502,UPC PASAR BESAR,CP BANYUWANGI,JALAN DIPONEGORO NO.08,"Kepatihan, Banyuwangi","Banyuwangi, Jawa Timur",0333418644
3503,UPC PASAR BLAMBANGAN,CP BANYUWANGI,JALAN JENDRAL BASUKI RAHMAT KOMPLEKS PASAR,"Singotrunan, Banyuwangi","Banyuwangi, Jawa Timur",0333418645
3504,UPC PASAR GLAGAH,CP BANYUWANGI,JALAN RAYA PASAR GLAGAH NO.265,"Glagah, Glagah","Banyuwangi, Jawa Timur",082302069426
3505,UPC PASARSEMPU,CP GENTENG,JALAN RAYA KALISETAIL NO.227,"Jambewangi, Sempu","Banyuwangi, Jawa Timur",0333843292
3506,UPC KALIBARU,CP GENTENG,JALAN RAYA JEMBER-BANYUWANGI NO.25/26,"Kalibaru Manis, Kalibaru","Banyuwangi, Jawa Timur",0333897308
3507,UPC JAJAG,CP GENTENG,JALAN YOS SUDARSO NO.89,"Purwodadi, Gambiran","Banyuwangi, Jawa Timur",0333393035
3508,UPC GLENMORE,CP GENTENG,DUSUN KARANGHARJO,"Sepanjang, Glenmore","Banyuwangi, Jawa Timur",0333821014
3509,UPC CELURING,CP GENTENG,JALAN RAYA JEMBER NO.10/30,"Cluring, Cluring","Banyuwangi, Jawa Timur",0333396576
3510,UPC TAMANAN,CP BONDOWOSO,JALAN RAYA TAMANAN NO.02 BONDOWOSO,"Kalianyar, Tamanan","Bondowoso, Jawa Timur",085330315450
3511,UPC PUJER,CP BONDOWOSO,JL RAYA PUJER NO 35,"Maskuning Wetan, Pujer","Bondowoso, Jawa Timur",085330315420
3512,UPC WONOSARI,CP BONDOWOSO,JALAN SITUBONDO NO.312 BONDOWOSO,"Kapuran, Wonosari","Bondowoso, Jawa Timur",0332427647
3513,UPC SUKOWONO,CP BONDOWOSO,"JALAN SULTAN AGUNG N0.30, SUKOWONO","Sukowono, Sukowono","Jember, Jawa Timur",0331566010
3514,UPC MAESAN,CP BONDOWOSO,"JALAN RAYA MAESAN NO.01, MAESAN","Maesan, Maesan","Bondowoso, Jawa Timur",0332426006
3515,UPC BAJULMATI,CP ASEMBAGUS,JALAN RAYA BANYUWANGI,"Bajulmati, Wongsorejo","Banyuwangi, Jawa Timur",0333461867
3516,UPC WONGSOREJO,CP ASEMBAGUS,JALAN RAYA BANYUWANGI,"Wongsorejo, Wongsorejo","Banyuwangi, Jawa Timur",0333463869
3517,UPC BASUKI RAHMAT,CP TEGALBOTO,"JALAN BASUKI RAHMAT NO.72, TEGAL BESAR","Tegal Besar, Kaliwates","Jember, Jawa Timur",0331337320
3518,UPC S PARMAN,CP TEGALBOTO,"JALAN S. PARMAN NO.89, SUMBERSARI","Sumbersari, Sumber Sari","Jember, Jawa Timur",0331337212
3519,UPC KALISAT,CP TEGALBOTO,"JALAN PATTIMURA NO.5, KALISAT","Kalisat, Kalisat","Jember, Jawa Timur",0331591130
3520,UPC MAYANG,CP TEGALBOTO,"JALAN RAUNG NO.39, TEGALREJO","Sumber Kejayan, Mayang","Jember, Jawa Timur",0331591920
3521,UPC PASAR GENDOH,CP ROGOJAMPI,JALAN ARUJI KARTAWIRA NO.138,"Jambewangi, Sempu","Banyuwangi, Jawa Timur",0333636622
3522,UPC PASAR ROGOJAMPI,CP ROGOJAMPI,JALAN RAYA ROGOJAMPI DSN JAJANGSURAT,"Karang Bendo, Rogojampi","Banyuwangi, Jawa Timur",0333636727
3523,UPC SONGGON,CP ROGOJAMPI,JALAN BOLODEWO NO.121,"Rogojampi, Rogojampi","Banyuwangi, Jawa Timur",0333633860
3524,UPC MUNCAR,CP ROGOJAMPI,JALAN BRAWIJAYA NO.19,"Kedungrejo, Muncar","Banyuwangi, Jawa Timur",0333592888
3525,UPC SRONO,CP ROGOJAMPI,JALAN RAYA SRONO,"Kebaman, Srono","Banyuwangi, Jawa Timur",0333392674
3526,UPC PURWOHARJO,CP ROGOJAMPI,JALAN RAYA GRAJAGAN,"Grajagan, Purwoharjo","Banyuwangi, Jawa Timur",0333392919
3527,CPS BANDA ACEH,Wilayah 1 Syariah Medan,JALAN IMAM BONJOL NO.14,"Kampung Baru, Baiturrahman","Banda Aceh, Nanggroe Aceh Darussalam (NAD)",082369661136
3528,CPS LHOKSEUMAWE,Wilayah 1 Syariah Medan,JALAN PASAR INPRES NO.10,"Tumpok Teungoh, Banda Sakti","Lhokseumawe, Nanggroe Aceh Darussalam (NAD)",064545303
3529,CPS LANGSA,Wilayah 1 Syariah Medan,JALAN CUT NYAK DHIEN N0 20,"Gampong Jawa, Langsa Kota","Langsa, Nanggroe Aceh Darussalam (NAD)",085362276884
3530,CPS KUALA SIMPANG,Wilayah 1 Syariah Medan,JALAN CUT NYAK DIEN NO 23. TLP. 0641 31279,"Kota Kuala Simpang, Kota Kuala Simpang","Aceh Tamiang, Nanggroe Aceh Darussalam (NAD)",085297876802
3531,CPS TAPAK TUAN,Wilayah 1 Syariah Medan,JALAN T.R ANGKASA NO. 56,"Pasar, Tapak Tuan","Aceh Selatan, Nanggroe Aceh Darussalam (NAD)",065621093
3532,CPS BLANG PIDIE,Wilayah 1 Syariah Medan,JALAN KESEHATAN NO.31,"Kuta Tuha, Blang Pidie","Aceh Barat Daya, Nanggroe Aceh Darussalam (NAD)",081260756562
3533,CPS MEULABOH,Wilayah 1 Syariah Medan,JALAN TGK DIRUNDING NO 14,"Ujong Baroh, Johan Pahlawan","Aceh Barat, Nanggroe Aceh Darussalam (NAD)",085260507339
3534,CPS BIREUEN,Wilayah 1 Syariah Medan,JALAN KOL. HUSEIN YUSUF NO.1A.,"Bireun Meunasah Reuleut, Kota Juang","Bireuen, Nanggroe Aceh Darussalam (NAD)",064421593
3535,CPS KEUTAPANG,Wilayah 1 Syariah Medan,JALAN SOEKARNO HATTA SIMPANG KEUTAPANG,"Lam Ara, Banda Raya","Banda Aceh, Nanggroe Aceh Darussalam (NAD)",08116171765
3536,UPS ULEE KARENG,CPS BANDA ACEH,JALAN T ISKANDAR NO.6,"Lamglumpang, Ulee Kareng","Banda Aceh, Nanggroe Aceh Darussalam (NAD)",085295417482
3537,UPS LAMLAGANG,CPS BANDA ACEH,JALAN SULTAN MALIKUL SALEH,"Neusu Aceh, Baiturrahman","Banda Aceh, Nanggroe Aceh Darussalam (NAD)",08116173790
3538,UPS SIMPANG SURABAYA,CPS BANDA ACEH,JALAN T IMUM LUENG BATA,"Lamseupeung, Lueng Bata","Banda Aceh, Nanggroe Aceh Darussalam (NAD)",081248978099
3539,UPS SIMPANG MESRA,CPS BANDA ACEH,JALAN TENGKU NYAK ARIF RUKO BARU,"Jeulingke, Syiah Kuala","Banda Aceh, Nanggroe Aceh Darussalam (NAD)",081318291349
3540,UPS KAMPUNG MULIA,CPS BANDA ACEH,JALAN S.M. YAMIN NO.3,"Peunayong, Kuta Alam","Banda Aceh, Nanggroe Aceh Darussalam (NAD)",085373364113
3541,UPS PUNGE,CPS BANDA ACEH,JALAN ISKANDAR MUDA,"Punge Jurong, Meuraxa","Banda Aceh, Nanggroe Aceh Darussalam (NAD)",08116171816
3542,UPS SYAH KUALA,CPS BANDA ACEH,JALAN SYAH KUALA,"Mulia, Kuta Alam","Banda Aceh, Nanggroe Aceh Darussalam (NAD)",08116173787
3543,UPS SABANG,CPS BANDA ACEH,JALAN TEUKU UMAR NO. 20,"Kota Bawah Barat, Sukakarya","Sabang, Nanggroe Aceh Darussalam (NAD)",085362003706
3544,UPS CUNDA,CPS LHOKSEUMAWE,JALAN MEDAN - BANDA ACEH,"Cot Trieng, Muara Satu","Lhokseumawe, Nanggroe Aceh Darussalam (NAD)",085362294678
3545,UPS PANTON LABU,CPS LHOKSEUMAWE,"JALAN PESANTREN MALIKUSSALEH, PANTON LABU","Rawang Itik, Tanah Jambo Aye","Aceh Utara, Nanggroe Aceh Darussalam (NAD)",082160643520
3546,UPS DEWANTARA,CPS LHOKSEUMAWE,JALAN MEDAN - BANDA ACEH,"Lancang Barat, Dewantara","Aceh Utara, Nanggroe Aceh Darussalam (NAD)",08116172808
3547,UPS LHOKSUKON,CPS LHOKSEUMAWE,JALAN MEDAN - BANDA ACEH,"Meunasah Dayah Lt/Lb, Lhoksukon","Aceh Utara, Nanggroe Aceh Darussalam (NAD)",08116172813
3548,UPS PUSAT KOTA,CPS LHOKSEUMAWE,JALAN GUDANG BARU - LOS G,"Lhokseumawe, Banda Sakti","Lhokseumawe, Nanggroe Aceh Darussalam (NAD)",082366313648
3549,UPS BATUPHAT,CPS LHOKSEUMAWE,JALAN MEDAN - BANDA ACEH,"Batu Phat Timur, Muara Satu","Lhokseumawe, Nanggroe Aceh Darussalam (NAD)",082295732273
3550,UPS GEDONG,CPS LHOKSEUMAWE,JALAN MEDAN - BANDA ACEH,"Blang Peuria, Samudera","Aceh Utara, Nanggroe Aceh Darussalam (NAD)",082273803453
3551,UPS LANGSA TIMUR,CPS LANGSA,JALAN H. AGUS SALIM,"Gampong Blang, Langsa Kota","Langsa, Nanggroe Aceh Darussalam (NAD)",082266199882
3552,UPS IDI,CPS LANGSA,JALAN ISKANDAR MUDA 16 B,"Gampong Jawa (Kampung Jawa), Idi Rayeuk","Aceh Timur, Nanggroe Aceh Darussalam (NAD)",08113582853
3553,UPS LANGSA BARO,CPS LANGSA,JALAN AHMAD YANI NO. 10,"Paya Bujuk Seuleumak, Langsa Baro","Langsa, Nanggroe Aceh Darussalam (NAD)",064123502
3554,UPS LANGSA BARAT,CPS LANGSA,JALAN SUDIRMAN NO.90,"Matang Seulimeng, Langsa Barat","Langsa, Nanggroe Aceh Darussalam (NAD)",064120599
3555,UPS JULOK,CPS LANGSA,JALAN RAYA MEDAN - BANDA ACEH,"Blang Pauh/Paoh Dua, Julok","Aceh Timur, Nanggroe Aceh Darussalam (NAD)",06467528076
3556,UPS PEUREULAK,CPS LANGSA,JALAN PEGADAIAN NO. 2,"Keude Peureulak, Peureulak","Aceh Timur, Nanggroe Aceh Darussalam (NAD)",064631211
3557,UPS KARANG BARU,CPS KUALA SIMPANG,JALAN RAYA MEDAN - BANDA ACEH,"Dalam, Karang Baru","Aceh Tamiang, Nanggroe Aceh Darussalam (NAD)",081269212756
3558,UPS TUALANG CUT,CPS KUALA SIMPANG,JALAN RAYA MEDAN BANDA ACEH,"Tualang Baru, Manyak Payed","Aceh Tamiang, Nanggroe Aceh Darussalam (NAD)",082367304149
3559,UPS KEJURUAN MUDA,CPS KUALA SIMPANG,JALAN RAYA MEDAN BANDA ACEH DUSUN PEKAN,"Sungai Liput, Kejuruan Muda","Aceh Tamiang, Nanggroe Aceh Darussalam (NAD)",082360115944
3560,UPS KOTA FAJAR,CPS TAPAK TUAN,JALAN T. MEURAH ADAM,"Suaq Geuringgeng (Geringgeng), Kluet Utara","Aceh Selatan, Nanggroe Aceh Darussalam (NAD)",08116171494
3561,UPS SUBULUSSALAM,CPS TAPAK TUAN,JALAN TENGKU UMAR NO 91 SIMP. KIRI SUBULUSSALAM,"Sikelang, Penanggalan","Subulussalam, Nanggroe Aceh Darussalam (NAD)",062731545
3562,UPS RIMO,CPS TAPAK TUAN,JALAN CUT MEUTIA DEPAN POLSEK GUNUNG MERIAH,"Sanggaberu Silulusan, Gunung Meriah (Mariah)","Aceh Singkil, Nanggroe Aceh Darussalam (NAD)",08116171498
3563,UPS MANGGENG,CPS BLANG PIDIE,JALAN NASIONAL BLANGPIDIE,"Kedai, Manggeng","Aceh Barat Daya, Nanggroe Aceh Darussalam (NAD)",082276233463
3564,UPS LABUHAN HAJI,CPS BLANG PIDIE,JALAN NASIONAL BLANGPIDIE,"Peulokan, Labuhan Haji Barat","Aceh Selatan, Nanggroe Aceh Darussalam (NAD)",082276226884
3565,UPS SINABANG,CPS BLANG PIDIE,JALAN TGK DI UJUNG NO.20 DS AMERIA BAHAGIA,"Ameria Bahagia, Simeuleu Timur","Simeulue, Nanggroe Aceh Darussalam (NAD)",082239707637
3566,UPS JEURAM,CPS MEULABOH,JALAN NASIONAL DSN ANGGREK NO 170,"Jeuram, Seunagan","Nagan Raya, Nanggroe Aceh Darussalam (NAD)",085260138228
3567,UPS SIMPANG PEUT,CPS MEULABOH,JALAN NASIONAL MEULABOH TAPAKTUAN SIMPANG PEUT,"Batu Raja, Tadu Raya","Nagan Raya, Nanggroe Aceh Darussalam (NAD)",085297229788
3568,UPS JOHAN PAHLAWAN,CPS MEULABOH,JALAN SM RAJA,"Drien Rampak, Johan Pahlawan","Aceh Barat, Nanggroe Aceh Darussalam (NAD)",085362880159
3569,UPS CALANG,CPS MEULABOH,JALAN TEUKU UMAR CALANG,"Sentosa, Krueng Sabee","Aceh Jaya, Nanggroe Aceh Darussalam (NAD)",082276073345
3570,UPS BEUREUNUEN,CPS BIREUEN,"JALAN BANDA ACEH - MEDAN, SIMP. LAMLO","Baro Barat Yaman, Mutiara","Pidie, Nanggroe Aceh Darussalam (NAD)",0653821219
3571,UPS TAKENGON,CPS BIREUEN,JALAN LEUBE KADER REJE BUKIT TAKENGON,"Simpang Empat, Bebesen","Aceh Tengah, Nanggroe Aceh Darussalam (NAD)",064321477
3572,UPS PONDOK BARU,CPS BIREUEN,JALAN SYIAH UTAMA DEPAN KORAMIL DAN POLSEK,"Penosan Jaya, Permata","Bener Meriah, Nanggroe Aceh Darussalam (NAD)",06437425051
3573,UPS BLANG KOLAK,CPS BIREUEN,JALAN YOS SUDARSO SAMPING HOTEL LINGE LAND,"Lelabu, Bebesen","Aceh Tengah, Nanggroe Aceh Darussalam (NAD)",064322745
3574,UPS MATANG GLUMPANG,CPS BIREUEN,JL.MEDAN BANDA ACEH,"Matang Sagoe, Peusangan","Bireuen, Nanggroe Aceh Darussalam (NAD)",085362292961
3575,UPS MEUREUDU,CPS BIREUEN,JALAN ISKANDAR MUDA NO.06,"Kota Meureudu, Meureudu","Pidie Jaya, Nanggroe Aceh Darussalam (NAD)",065351080
3576,UPS PEUNAYONG,CPS KEUTAPANG,JLN. MATA IE SAMPING PASAR INPRES KEUTAPANG,"Garot Geuceu, Darul Imarah","Aceh Besar, Nanggroe Aceh Darussalam (NAD)",08116171780
3577,UPS LAMTEUMEN,CPS KEUTAPANG,JALAN CUT NYAK DIEN NO. 588,"Lamtemen Barat, Jaya Baru","Banda Aceh, Nanggroe Aceh Darussalam (NAD)",08116171820
3578,UPS BATOH,CPS KEUTAPANG,JALAN T. MUHAMMAD HASAN,"Batoh, Lueng Bata","Banda Aceh, Nanggroe Aceh Darussalam (NAD)",08116171817
3579,UPS SIGLI,CPS KEUTAPANG,JALAN PERDAGANGAN NO. 5,"Blok Bengkel, Kota Sigli","Pidie, Nanggroe Aceh Darussalam (NAD)",065321178
3580,UPS LAMBARO,CPS KEUTAPANG,JALAN BANDA ACEH - MEDAN KM.9 NO.3-5,"Miruk, Krueng Barona Jaya","Aceh Besar, Nanggroe Aceh Darussalam (NAD)",08116171764
3581,UPS AJUEN,CPS KEUTAPANG,JALAN BANDA ACEH - MEULABOH KM.5.5,"Lambadeuk, Peukan Bada","Aceh Besar, Nanggroe Aceh Darussalam (NAD)",08116171766
3582,UPS ANEUK GALONG,CPS KEUTAPANG,JALAN BANDA ACEH - MEDAN KM.14.5 NO.1,"Luthu Lamweu, Suka Makmur","Aceh Besar, Nanggroe Aceh Darussalam (NAD)",081360553475
3583,UPS DARUSSALAM,CPS KEUTAPANG,JALAN T NYAK ARIEF NO.451,"Rukoh, Syiah Kuala","Banda Aceh, Nanggroe Aceh Darussalam (NAD)",08116171767
3584,UPS LAMPEUNURUT,CPS KEUTAPANG,JALAN SOEKARNO HATTA NO.03,"Lamkunyet, Darul Kamal","Aceh Besar, Nanggroe Aceh Darussalam (NAD)",08116171768
3585,UPS BEURAWE,CPS KEUTAPANG,JALAN T HASAN DEK,"Ateuk Pahlawan, Baiturrahman","Banda Aceh, Nanggroe Aceh Darussalam (NAD)",082368226455
3586,CPS AR.HAKIM,Wilayah 1 Syariah Medan,JALAN AR.HAKIM NO.131,"Tegal Sari II, Medan Area","Medan, Sumatera Utara",0617341393
3587,UPS PEMATANG SIANTAR,CPS AR.HAKIM,JALAN AHMAD YANI NO.68,"Merdeka, Siantar Timur","Pematang Siantar, Sumatera Utara",06227551005
